id,招生单位,所在地,院系所,专业,学习方式,研究方向,拟招人数,政治,外语,业务课一,业务课二,考试方式,指导老师,备注
1058921017025100021,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,全日制,(02)证券投资与资本运营,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1074821002025100001,(10748)青海民族大学,(63)青海省,(002)经济与管理学院,(025100)(专业学位)金融,全日制,(00)暂不区分研究方向,专业：40(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合,统考,,
1076621030025100041,(10766)新疆财经大学,(65)新疆维吾尔自治区,(030)金融学院,(025100)(专业学位)金融,全日制,(04)区域金融,专业：56(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1069521008025100021,(10695)西藏民族大学,(54)西藏自治区,(008)财经学院,(025100)(专业学位)金融,全日制,(02)金融机构管理与创新,专业：14(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1073621008025100011,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(01)商业银行管理,专业：50(不含推免),(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1074821002025100001,(10748)青海民族大学,(63)青海省,(002)经济与管理学院,(025100)(专业学位)金融,全日制,(00)暂不区分研究方向,专业：40(不含推免),(101)思想政治理论,(203)日语,(303)数学（三）,(431)金融学综合,统考,,
1073621008025100031,(10736)西北师范大学,(62)甘肃省,(008)经济学院,(025100)(专业学位)金融,全日制,(03)资本市场,专业：50(不含推免),(101)思想政治理论,(203)日语,(396)经济类综合能力,(431)金融学综合,统考,,不接收同等学力
1058921017025100052,(10589)海南大学,(46)海南省,(017)经济学院,(025100)(专业学位)金融,非全日制,(05)反洗钱理论与实践,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1059321030025100002,(10593)广西大学,(45)广西壮族自治区,(030)经济学院,(025100)(专业学位)金融,非全日制,(00)不区分研究方向,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1060221013025100001,(10602)广西师范大学,(45)广西壮族自治区,(013)经济管理学院,(025100)(专业学位)金融,全日制,(00)不区分研究方向,专业：30(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,,
1140721008025100011,(11407)北方民族大学,(64)宁夏回族自治区,(008)经济学院,(025100)(专业学位)金融,全日制,(01)普惠金融与乡村振兴,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合,统考,刘七军等,
